,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,Width,Height,Initial_bravery,Battery_size
351,100,0.25,2,circle,False,31,2499.990099009901,0.11064425770308123,714,0.1305769230769231,80,80,10,75
352,250,0.1,1,LHS,True,32,2437.1434262948205,0.48567335243553006,2792,0.2685,80,80,10,75
353,250,0.1,1,LHS,False,33,2422.2470119521913,0.4892643435410067,2841,0.30310000000000004,80,80,10,75
354,250,0.1,1,circle,True,34,2485.7569721115538,0.2416452442159383,1945,0.2611538461538462,80,80,10,75
355,250,0.1,1,circle,False,35,2481.7250996015937,0.305594734367654,2127,0.31596153846153846,80,80,10,75
356,250,0.1,2,LHS,True,36,2439.7250996015937,0.49183303085299457,2755,0.2952,80,80,10,75
357,250,0.1,2,LHS,False,37,2440.466135458167,0.488809946714032,2815,0.3072,80,80,10,75
358,250,0.1,2,circle,True,38,2473.187250996016,0.27029752899646997,1983,0.33375,80,80,10,75
359,250,0.1,2,circle,False,39,2487.00796812749,0.21096345514950166,1806,0.2985576923076923,80,80,10,75
360,250,0.125,1,LHS,True,40,2464.3505976095616,0.34265103697024346,2218,0.25056451612903224,80,80,10,75
361,250,0.125,1,LHS,False,41,2460.5139442231075,0.38248657579512596,2421,0.24370967741935487,80,80,10,75
362,250,0.125,1,circle,True,42,2485.1553784860557,0.17134831460674158,1780,0.251796875,80,80,10,75
363,250,0.125,1,circle,False,43,2490.4462151394423,0.1658206429780034,1773,0.26507812500000005,80,80,10,75
364,250,0.125,2,LHS,True,44,2485.0478087649403,0.32738374823860966,2129,0.2415322580645161,80,80,10,75
365,250,0.125,2,LHS,False,45,2474.988047808765,0.32291180587960805,2143,0.25572580645161286,80,80,10,75
366,250,0.125,2,circle,True,46,2495.569721115538,0.23735810113519093,1938,0.27554687499999997,80,80,10,75
367,250,0.125,2,circle,False,47,2481.7051792828684,0.22081497797356828,1816,0.257265625,80,80,10,75
368,250,0.16666666666666666,1,LHS,True,48,2490.6175298804783,0.27796775769418663,2047,0.18121951219512195,80,80,10,75
369,250,0.16666666666666666,1,LHS,False,49,2473.135458167331,0.2798651252408478,2076,0.17914634146341465,80,80,10,75
370,250,0.16666666666666666,1,circle,True,50,2482.9402390438245,0.1799761620977354,1678,0.15583333333333332,80,80,10,75
371,250,0.16666666666666666,1,circle,False,51,2476.737051792829,0.0990159901599016,1626,0.18982142857142859,80,80,10,75
372,250,0.16666666666666666,2,LHS,True,52,2484.191235059761,0.2384937238493724,1912,0.18756097560975613,80,80,10,75
373,250,0.16666666666666666,2,LHS,False,53,2488.2430278884462,0.23958896700919416,1849,0.1874390243902439,80,80,10,75
374,250,0.16666666666666666,2,circle,True,54,2482.2191235059763,0.08037383177570094,1605,0.1745833333333333,80,80,10,75
375,250,0.16666666666666666,2,circle,False,55,2489.760956175299,0.07189119170984457,1544,0.19511904761904764,80,80,10,75
376,250,0.25,1,LHS,True,56,2479.768924302789,0.1228813559322034,1652,0.11927419354838709,80,80,10,75
377,250,0.25,1,LHS,False,57,2478.6175298804783,0.1658177702320317,1767,0.11838709677419355,80,80,10,75
378,250,0.25,1,circle,True,58,2493.601593625498,0.054993678887484194,1582,0.12789682539682543,80,80,10,75
379,250,0.25,1,circle,False,59,2482.211155378486,0.047619047619047616,1554,0.12194444444444447,80,80,10,75
380,250,0.25,2,LHS,True,60,2498.167330677291,0.1399885255306942,1743,0.12754032258064515,80,80,10,75
381,250,0.25,2,LHS,False,61,2494.832669322709,0.13494401885680612,1697,0.12883064516129034,80,80,10,75
382,250,0.25,2,circle,True,62,2492.027888446215,0.05727155727155727,1554,0.11896825396825397,80,80,10,75
383,250,0.25,2,circle,False,63,2498.661354581673,0.051559516231699555,1571,0.1242857142857143,80,80,10,75
384,100,0.1,1,LHS,True,0,2144.90099009901,0.5790349417637272,1202,0.34224999999999994,80,80,10,75
385,100,0.1,1,LHS,False,1,2073.5643564356437,0.43680709534368073,902,0.27399999999999997,80,80,10,75
386,100,0.1,1,circle,True,2,2306.8811881188117,0.45224719101123595,1068,0.37795454545454543,80,80,10,75
387,100,0.1,1,circle,False,3,2389.70297029703,0.4152542372881356,944,0.2938636363636364,80,80,10,75
388,100,0.1,2,LHS,True,4,2221.2178217821784,0.5824964131994261,1394,0.37025,80,80,10,75
389,100,0.1,2,LHS,False,5,2303.0495049504952,0.35583524027459956,874,0.3005,80,80,10,75
390,100,0.1,2,circle,True,6,2411.7227722772277,0.2632850241545894,828,0.32363636363636367,80,80,10,75
391,100,0.1,2,circle,False,7,2418.089108910891,0.33370535714285715,896,0.31204545454545457,80,80,10,75
392,100,0.125,1,LHS,True,8,2309.6237623762377,0.38882921589688507,931,0.29291666666666666,80,80,10,75
393,100,0.125,1,LHS,False,9,2257.4554455445545,0.44332998996990974,997,0.29020833333333335,80,80,10,75
394,100,0.125,1,circle,True,10,2383.7425742574255,0.34265734265734266,858,0.28807692307692306,80,80,10,75
395,100,0.125,1,circle,False,11,2420.3564356435645,0.16470588235294117,680,0.26942307692307693,80,80,10,75
396,100,0.125,2,LHS,True,12,2409.8514851485147,0.40279162512462613,1003,0.27291666666666664,80,80,10,75
397,100,0.125,2,LHS,False,13,2287.980198019802,0.521505376344086,1116,0.251875,80,80,10,75
398,100,0.125,2,circle,True,14,2447.3564356435645,0.2822085889570552,815,0.2721153846153846,80,80,10,75
399,100,0.125,2,circle,False,15,2444.930693069307,0.31949250288350634,867,0.2405769230769231,80,80,10,75
400,100,0.16666666666666666,1,LHS,True,16,2359.3267326732675,0.2757352941176471,816,0.2109375,80,80,10,75
401,100,0.16666666666666666,1,LHS,False,17,2396.6930693069307,0.34838709677419355,930,0.22593749999999999,80,80,10,75
402,100,0.16666666666666666,1,circle,True,18,2443.6435643564355,0.18591549295774648,710,0.2072058823529412,80,80,10,75
403,100,0.16666666666666666,1,circle,False,19,2437.158415841584,0.15847860538827258,631,0.17941176470588235,80,80,10,75
404,100,0.16666666666666666,2,LHS,True,20,2391.4752475247524,0.3418994413407821,895,0.155625,80,80,10,75
405,100,0.16666666666666666,2,LHS,False,21,2420.4356435643563,0.3087557603686636,868,0.1825,80,80,10,75
406,100,0.16666666666666666,2,circle,True,22,2473.0495049504952,0.16295264623955433,718,0.20529411764705885,80,80,10,75
407,100,0.16666666666666666,2,circle,False,23,2464.8118811881186,0.20567375886524822,705,0.20352941176470588,80,80,10,75
408,100,0.25,1,LHS,True,24,2460.871287128713,0.1598240469208211,682,0.1234,80,80,10,75
409,100,0.25,1,LHS,False,25,2459.5643564356437,0.20833333333333334,744,0.1346,80,80,10,75
410,100,0.25,1,circle,True,26,2480.237623762376,0.06070287539936102,626,0.11788461538461538,80,80,10,75
411,100,0.25,1,circle,False,27,2499.990099009901,0.09516616314199396,662,0.1383653846153846,80,80,10,75
412,100,0.25,2,LHS,True,28,2456.920792079208,0.23826714801444043,831,0.1075,80,80,10,75
413,100,0.25,2,LHS,False,29,2473.267326732673,0.19448275862068964,725,0.1144,80,80,10,75
414,100,0.25,2,circle,True,30,2472.009900990099,0.09337349397590361,664,0.1341346153846154,80,80,10,75
415,100,0.25,2,circle,False,31,2489.4158415841584,0.057902973395931145,639,0.11548076923076923,80,80,10,75
416,250,0.1,1,LHS,True,32,2427.4143426294822,0.5134390075809786,2902,0.3236,80,80,10,75
417,250,0.1,1,LHS,False,33,2444.0876494023905,0.48575602629656683,2738,0.30499999999999994,80,80,10,75
418,250,0.1,1,circle,True,34,2478.561752988048,0.28180039138943247,2044,0.28365384615384615,80,80,10,75
419,250,0.1,1,circle,False,35,2484.0,0.29206049149338376,2116,0.31317307692307694,80,80,10,75
420,250,0.1,2,LHS,True,36,2466.011952191235,0.43948071783123327,2619,0.3186,80,80,10,75
421,250,0.1,2,LHS,False,37,2465.1195219123506,0.37766624843161856,2391,0.33870000000000006,80,80,10,75
422,250,0.1,2,circle,True,38,2485.597609561753,0.22240709927897948,1803,0.3030769230769231,80,80,10,75
423,250,0.1,2,circle,False,39,2469.4860557768925,0.26256410256410256,1950,0.2874038461538462,80,80,10,75
